Map	X	Y	Z
56	2.06192964583	-0.0407027757676	-0.304145546953
77	8.72102346932	-0.661945938208	-1.23192544546
54	1.65968991975	0.0385417384954	-0.250553231314
42	-0.488426346404	0.288101570694	-0.109287364509
48	0.460630095002	0.197925709936	-0.175229974182
43	-0.388320330955	0.270434370097	-0.105496411619
60	2.86088228167	0.042314007874	-0.401014783545
61	3.05964290475	0.0536052517576	-0.429847443657
62	3.26070145012	0.110829925444	-0.47204167081
63	3.46118474388	-0.00134481509629	-0.480424365383
64	3.66073612509	0.0530048286576	-0.523682370382
49	0.660464471495	0.186679311985	-0.197573774273
66	4.06174520954	0.0789017936704	-0.590264704935
67	4.30898270418	0.174691355844	-0.641868110795
68	4.61037333435	0.230737388527	-0.681137767711
69	4.90915759172	0.153160774648	-0.722498158785
52	1.26148145897	0.035346353926	-0.212112691129
53	1.46141946956	-0.0115275167913	-0.217358612855
24	-2.28825237904	0.217645192166	0.220195892915
25	-2.1884402351	0.23817313694	0.205077625733
26	-2.08840324707	0.343144580269	0.173353739716
27	-1.98827836098	0.32522760955	0.148506582255
20	-2.68813315236	0.0484747649216	0.314569028127
21	-2.58856199833	0.0966302063686	0.299810152126
22	-2.48845339528	0.0970357459757	0.288505993432
23	-2.38793548888	0.147349071566	0.24253065764
46	0.0621703523997	0.27360243881	-0.166115845582
47	0.26133817434	0.325308797286	-0.179106920747
44	-0.238166243379	0.344454474933	-0.139962088098
45	-0.0887952978871	0.240293445102	-0.137132537822
28	-1.88861724964	0.362549896595	0.13504192331
29	-1.78894681721	0.312003859348	0.117226688038
40	-0.688932313949	0.264121546967	-0.0780913417001
41	-0.589002180912	0.276280773594	-0.0769155033437
1	-8.74255017288	-0.233544261651	2.77548201972
3	-6.16969046202	-0.687135507615	1.46375887458
2	-6.79364690937	-0.788194557155	1.76535463003
5	-5.38288366514	-0.530820339502	1.15626430315
4	-5.72897526295	-0.485660948209	1.27640385522
7	-4.83664589262	-0.425955764836	0.975469616675
6	-5.08380739127	-0.49058912224	1.05304047447
9	-4.43697075067	-0.391946184836	0.824336195605
8	-4.63668031627	-0.397370426243	0.892704043352
78	10.0367598103	-0.506955837318	-1.52474236835
51	1.06124348011	0.069390333476	-0.194634026494
39	-0.788398372275	0.329427314939	-0.0735012723512
65	3.86167149897	0.200338190478	-0.567832947839
76	7.89879707823	-0.597956254556	-1.09246561493
75	7.25106128966	-0.499016471114	-0.990202541022
38	-0.888572343082	0.370262566551	-0.0556126766054
73	6.25639626441	-0.186900693667	-0.883801729453
72	5.85775661296	-0.179820756003	-0.833868055781
71	5.50861411675	0.0607331847033	-0.80264349321
70	5.21018754396	0.0841515051742	-0.755229964494
59	2.66058017162	0.108920606196	-0.393335089648
79	13.8298989247	-0.706368523403	-2.33789847606
58	2.46163942359	0.0629589535512	-0.359463631892
11	-4.03694645792	-0.329804403988	0.69631476645
10	-4.23614666103	-0.399153782877	0.766899291126
13	-3.63835193452	-0.354639596049	0.59217871021
12	-3.83826052075	-0.401636228472	0.655279531021
15	-3.23688618323	-0.238458461384	0.471685269398
14	-3.43766031517	-0.285703350473	0.530997746743
17	-2.9877354	-0.133166775321	0.411067085354
16	-3.08789159808	-0.148280753352	0.439392901901
19	-2.78896855579	-0.0302043099918	0.351027869416
18	-2.88857939002	-0.04168421105	0.367848264318
31	-1.58831643423	0.399869473423	0.0404044890845
30	-1.68881795693	0.339398920654	0.100409379848
37	-0.988643149459	0.37936267018	-0.0404623310902
36	-1.0889726314	0.361254563284	-0.0211088146939
35	-1.18776390557	0.341954695884	-0.00200902131703
34	-1.28884259309	0.360343740058	0.015756021281
33	-1.38878113222	0.405564014282	0.0275960396342
55	1.86154347098	0.0313166328931	-0.273768767659
74	6.70526349932	-0.450422245355	-0.908024090352
32	-1.4881875124	0.384071763662	0.0389787912214
57	2.26184262151	0.0394235438132	-0.317957947853
50	0.860645774288	0.130344903087	-0.187106176684
